label,message,predicted_label
,"Hey, are we still meeting after class today?",ham
,Congratulations! You have been selected for a free gift card. Claim now.,spam
,Can you send me the notes from yesterday's lecture?,ham
,URGENT! Your account has been suspended. Verify immediately.,spam
,Don't forget to bring your laptop to the library meeting.,ham
,Win cash prizes now by entering our exclusive mobile contest.,spam
,I am outside your apartment whenever you are ready.,ham
,Limited time offer! Get a free vacation package today.,ham
,Can you call me when you get a chance?,ham
,You have won a brand new phone. Click the link to claim it.,spam
,I just emailed you the article for class.,ham
,Final notice: your payment is overdue. Pay now to avoid penalties.,ham
,Are you free to study together this weekend?,ham
,Exclusive reward waiting for you. Respond now.,ham
,The professor moved the deadline to Friday.,ham
,You have been chosen for a free shopping voucher.,spam
,Can you pick up some snacks on your way here?,ham
,Act now to receive your bonus reward before it expires.,spam
,I left my charger in the classroom by accident.,ham
,Your loan has been approved instantly. Reply YES for details.,ham
,Want to grab coffee before the meeting?,ham
,Claim your free ringtone subscription today.,spam
,My shift ends at 6 if you still need a ride.,ham
,You are the lucky winner of a $500 prize.,spam
,The reading for next week is posted online now.,ham
,Your mobile number has won a cash jackpot.,spam
,I'll text you when I get to campus.,ham
,Important notification: update your billing information now.,ham
,Do you know what chapters are on the quiz?,ham
,Free entry in our weekly giveaway. Join now.,spam
,Can you resend the Zoom link for tonight?,ham
,You have been pre-approved for a special cash advance.,ham
,I'm at the front desk waiting for you.,ham
,"Congratulations, your number qualifies for a special discount.",ham
,Please remember to submit your discussion board tonight.,ham
,Click here now to unlock your exclusive member reward.,ham
,The meeting room changed to the second floor.,ham
,You have received a free coupon. Redeem it before midnight.,ham
,I found your water bottle in the lab.,ham
,Earn money fast from home with this simple method.,ham
,Can you let me know when the package arrives?,ham
,Special promotion just for you. Reply now.,ham
,I'm running about ten minutes late.,ham
,A free gift is waiting for you. Confirm immediately.,spam
,Did you already finish the homework questions?,ham
,Your subscription is expiring. Renew today for continued access.,ham
,Let's meet in the student center at noon.,ham
,Winner! Claim your free concert tickets now.,spam
,I uploaded the assignment file to GitHub.,ham
,This is your last chance to receive a cash prize.,spam
,Can you help me review my paper later?,ham
,Get approved instantly for low-interest financing.,ham
,The library closes earlier tonight.,ham
,You have been selected for a free membership trial.,ham
,I'll be home in about thirty minutes.,ham
,Important alert: unusual activity detected on your account.,ham
,Do you want me to save you a seat?,ham
,Receive a complimentary vacation stay if you respond today.,ham
,My internet was down so I turned in the work late.,ham
,Reply STOP to cancel or YES to claim your reward.,spam
,Can you send me the professor's office hours?,ham
,Your prize is pending. Provide your details now.,ham
,I can meet on Tuesday instead if that works.,ham
,Lowest insurance rates available now. Get your quote today.,ham
,I finished the spreadsheet and uploaded the final version.,ham
,Claim a free sample by clicking the secure link.,spam
,Please text me when you leave campus.,ham
,You are eligible for a bonus payment this week.,ham
,I think the assignment was easier than last week's.,ham
,Exclusive deal ends tonight. Don't miss out.,ham
,Can you proofread my discussion post before I submit it?,ham
,You have won a free entry into our monthly drawing.,spam
,I'm in the parking lot near the main entrance.,ham
,Your account qualifies for premium access at no cost.,spam
,The group project notes are in the shared folder.,ham
,Act fast to secure your reward before it expires.,ham
,Can we switch our meeting time to 4 PM?,ham
,Free trial available now with instant activation.,ham
,I just checked and the article is peer reviewed.,ham
,Congratulations! You are today's selected winner.,ham
,Do you know if class is online tomorrow?,ham
,Your confirmation code is required to avoid account closure.,ham
,I'll bring the book back to you tomorrow.,ham
,Claim your cashback now through our limited-time offer.,ham
,The file finally uploaded correctly.,ham
,This message confirms your eligibility for a free bonus.,spam
,Can you remind me what page the quote was on?,ham
,New promotional offer available for valued customers only.,ham
,I will send the reading summary tonight.,ham
,You have been chosen to receive a special award.,spam
,Can you meet me in the archive room later?,ham
,Immediate response needed to secure your prize.,ham
,I think I left my notebook in your car.,ham
,Discounted streaming access available now. Sign up today.,ham
,The workshop starts at 1 and ends at 3.,ham
,Win big now with our easy entry contest.,ham
,I got your message and will reply later tonight.,ham
,Please verify your identity to receive the funds.,ham
,We should probably start the group slides soon.,ham
,Limited seats available. Reserve your free place now.,ham
,Text me when you get home safely.,ham
,This is a courtesy reminder about your unpaid balance.,ham
,I added comments to the draft in Google Docs.,ham
,You have unlocked a special mobile reward.,spam
,Can you send me the citation format again?,ham
,Redeem your exclusive offer now before it is gone.,ham
,I'll check the dataset and message you back.,ham
,Congratulations! You qualify for a free upgrade today.,ham
